"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","2.267"
"00:16","","","2.201"
"00:32","","","2.081"
"01:52","3.658","",""
"02:08","3.626","",""
"03:28","4.502","",""
"05:04","4.506","",""
"05:20","4.461","",""
"05:36","4.673","",""
"06:40","4.383","",""
"07:12","4.603","1.148",""
