"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","0"
"00:12","","","0"
"00:28","","","0"
"02:52","60.705","0",""
"03:04","57.774","0",""
"03:20","58.22","0",""
